run_id	step	loss
breakout_1656253812_89b07dc8	924	0.4717893258202821
breakout_1656253812_89b07dc8	927	0.6132178419502452
breakout_1656253812_89b07dc8	929	0.584718429716304
breakout_1656253812_89b07dc8	932	0.42261085426434875
breakout_1656253812_89b07dc8	934	0.5531251382781193
breakout_1656253812_89b07dc8	937	0.4413793209241703
breakout_1656253812_89b07dc8	940	0.2386718955822289
breakout_1656253812_89b07dc8	942	0.3380698843393475
breakout_1656253812_89b07dc8	945	0.4146713820518926
breakout_1656253812_89b07dc8	947	0.4672590213594958
breakout_1656253812_89b07dc8	950	0.5432994614820927
breakout_1656253812_89b07dc8	952	0.3994802167871967
breakout_1656253812_89b07dc8	955	0.6123344614170492
breakout_1656253812_89b07dc8	957	0.47147720493376255
breakout_1656253812_89b07dc8	960	0.38680769654456526
breakout_1656253812_89b07dc8	962	0.4528220050269738
breakout_1656253812_89b07dc8	965	0.6711839257623069
breakout_1656253812_89b07dc8	967	0.40525278355926275
breakout_1656253812_89b07dc8	970	0.6018022655043751
breakout_1656253812_89b07dc8	973	0.356740313465707
breakout_1656253812_89b07dc8	975	0.3565605530748144
breakout_1656253812_89b07dc8	978	0.304758538142778
breakout_1656253812_89b07dc8	980	0.44500745576806366
breakout_1656253812_89b07dc8	983	0.24677014537155628
breakout_1656253812_89b07dc8	985	0.3523584904614836
breakout_1656253812_89b07dc8	988	0.36078904068563133
breakout_1656253812_89b07dc8	990	0.49562216841150075
breakout_1656253812_89b07dc8	993	0.4025541765149683
breakout_1656253812_89b07dc8	995	0.5110577556770295
breakout_1656253812_89b07dc8	998	0.45609473856166005
breakout_1656253812_89b07dc8	1000	0.44495134509634227
breakout_1656253812_89b07dc8	1003	0.46974894031882286
breakout_1656253812_89b07dc8	1006	41.50082737969933
breakout_1656253812_89b07dc8	1008	0.42328011442441493
breakout_1656253812_89b07dc8	1011	0.46126594726229087
breakout_1656253812_89b07dc8	1013	0.5192623417824507
breakout_1656253812_89b07dc8	1016	0.4100709860213101
breakout_1656253812_89b07dc8	1018	0.5988986219745129
breakout_1656253812_89b07dc8	1021	0.22992991202045232
breakout_1656253812_89b07dc8	1023	0.2143014094326645
breakout_1656253812_89b07dc8	1026	0.2354512041201815
breakout_1656253812_89b07dc8	1028	0.46739983069710433
breakout_1656253812_89b07dc8	1031	0.3194962708512321
breakout_1656253812_89b07dc8	1033	0.44481972022913396
breakout_1656253812_89b07dc8	1036	0.24284148402512074
breakout_1656253812_89b07dc8	1039	0.3561734779505059
breakout_1656253812_89b07dc8	1041	0.5146124031161889
breakout_1656253812_89b07dc8	1044	0.6131977578625083
breakout_1656253812_89b07dc8	1046	0.2601436040131375
breakout_1656253812_89b07dc8	1049	0.44652309676166624
breakout_1656253812_89b07dc8	1051	0.4346559033729136
breakout_1656253812_89b07dc8	1054	0.5633453136542812
breakout_1656253812_89b07dc8	1056	0.3801319969352335
breakout_1656253812_89b07dc8	1059	0.515760451904498
breakout_1656253812_89b07dc8	1061	0.48589367081876844
breakout_1656253812_89b07dc8	1064	0.5844819165067747
breakout_1656253812_89b07dc8	1066	0.46909396222326905
breakout_1656253812_89b07dc8	1069	0.3264665196184069
breakout_1656253812_89b07dc8	1072	0.346860435558483
breakout_1656253812_89b07dc8	1074	0.56133749242872
breakout_1656253812_89b07dc8	1077	0.37992179312277585
breakout_1656253812_89b07dc8	1079	0.6091682579135522
breakout_1656253812_89b07dc8	1082	0.2716200817376375
breakout_1656253812_89b07dc8	1084	0.6183615238405764
breakout_1656253812_89b07dc8	1087	0.6369626123923808
breakout_1656253812_89b07dc8	1089	0.4477111640153453
breakout_1656253812_89b07dc8	1092	0.5288637251360342
breakout_1656253812_89b07dc8	1094	0.5688266195356846
breakout_1656253812_89b07dc8	1097	0.31646373390685767
breakout_1656253812_89b07dc8	1099	0.4635374302743003
breakout_1656253812_89b07dc8	1102	0.5925997929880396
breakout_1656253812_89b07dc8	1105	0.3214368441258557
breakout_1656253812_89b07dc8	1107	0.3928514061262831
breakout_1656253812_89b07dc8	1110	0.45670581806916744
breakout_1656253812_89b07dc8	1112	0.32470125530380756
breakout_1656253812_89b07dc8	1115	0.4939088794635609
breakout_1656253812_89b07dc8	1117	0.6556265185354277
breakout_1656253812_89b07dc8	1120	0.46149827912449837
breakout_1656253812_89b07dc8	1122	0.58999933215091
breakout_1656253812_89b07dc8	1125	0.4960773938219063
breakout_1656253812_89b07dc8	1127	0.5337159299524501
breakout_1656253812_89b07dc8	1130	0.5951377769233659
breakout_1656253812_89b07dc8	1132	0.34243395586963743
breakout_1656253812_89b07dc8	1135	0.2718201801762916
breakout_1656253812_89b07dc8	1138	0.3932772692060098
breakout_1656253812_89b07dc8	1140	0.39969103527255356
breakout_1656253812_89b07dc8	1143	0.3916165441623889
breakout_1656253812_89b07dc8	1145	0.360031568154227
breakout_1656253812_89b07dc8	1148	0.2459531020722352
breakout_1656253812_89b07dc8	1150	0.30784809845499694
breakout_1656253812_89b07dc8	1153	0.3117361514014192
breakout_1656253812_89b07dc8	1155	0.3359264138271101
breakout_1656253812_89b07dc8	1158	0.4802697119885124
breakout_1656253812_89b07dc8	1160	0.4246043357416056
breakout_1656253812_89b07dc8	1163	0.4305041523766704
breakout_1656253812_89b07dc8	1165	0.5925234527676366
breakout_1656253812_89b07dc8	1168	0.44153329328401014
breakout_1656253812_89b07dc8	1171	0.3319661013374571
breakout_1656253812_89b07dc8	1173	0.4446983056841418
breakout_1656253812_89b07dc8	1176	0.43340826529311016
breakout_1656253812_89b07dc8	1178	0.5424736998975277
breakout_1656253812_89b07dc8	1181	0.5310412038816139
breakout_1656253812_89b07dc8	1183	0.5577853162540123
breakout_1656253812_89b07dc8	1186	0.3154718217556365
breakout_1656253812_89b07dc8	1188	0.3044805213576183
breakout_1656253812_89b07dc8	1191	0.486430193297565
breakout_1656253812_89b07dc8	1193	0.4331722218776122
