run_id	step	reward
breakout_1656253812_89b07dc8	1061	6
breakout_1656253812_89b07dc8	1064	4
breakout_1656253812_89b07dc8	1066	8
breakout_1656253812_89b07dc8	1069	13
breakout_1656253812_89b07dc8	1072	6
breakout_1656253812_89b07dc8	1074	1
breakout_1656253812_89b07dc8	1077	6
breakout_1656253812_89b07dc8	1079	6
breakout_1656253812_89b07dc8	1082	6
breakout_1656253812_89b07dc8	1084	7
breakout_1656253812_89b07dc8	1087	15
breakout_1656253812_89b07dc8	1089	7
breakout_1656253812_89b07dc8	1092	4
breakout_1656253812_89b07dc8	1094	9
breakout_1656253812_89b07dc8	1097	4
breakout_1656253812_89b07dc8	1099	3
breakout_1656253812_89b07dc8	1102	6
breakout_1656253812_89b07dc8	1105	6
breakout_1656253812_89b07dc8	1107	5
breakout_1656253812_89b07dc8	1110	4
breakout_1656253812_89b07dc8	1112	4
breakout_1656253812_89b07dc8	1115	6
breakout_1656253812_89b07dc8	1117	9
breakout_1656253812_89b07dc8	1120	8
breakout_1656253812_89b07dc8	1122	4
breakout_1656253812_89b07dc8	1125	5
breakout_1656253812_89b07dc8	1127	5
breakout_1656253812_89b07dc8	1130	9
breakout_1656253812_89b07dc8	1132	6
breakout_1656253812_89b07dc8	1135	6
breakout_1656253812_89b07dc8	1138	4
breakout_1656253812_89b07dc8	1140	6
breakout_1656253812_89b07dc8	1143	7
breakout_1656253812_89b07dc8	1145	7
breakout_1656253812_89b07dc8	1148	4
breakout_1656253812_89b07dc8	1150	5
breakout_1656253812_89b07dc8	1153	6
breakout_1656253812_89b07dc8	1155	7
breakout_1656253812_89b07dc8	1158	6
breakout_1656253812_89b07dc8	1160	6
breakout_1656253812_89b07dc8	1163	6
breakout_1656253812_89b07dc8	1165	7
breakout_1656253812_89b07dc8	1168	4
breakout_1656253812_89b07dc8	1171	5
breakout_1656253812_89b07dc8	1173	5
breakout_1656253812_89b07dc8	1176	6
breakout_1656253812_89b07dc8	1178	6
breakout_1656253812_89b07dc8	1181	1
breakout_1656253812_89b07dc8	1183	6
breakout_1656253812_89b07dc8	1186	5
breakout_1656253812_89b07dc8	1188	7
breakout_1656253812_89b07dc8	1191	7
breakout_1656253812_89b07dc8	1193	7
breakout_1656253812_89b07dc8	1196	3
breakout_1656253812_89b07dc8	1198	6
breakout_1656253812_89b07dc8	1201	3
breakout_1656253812_89b07dc8	1204	4
breakout_1656253812_89b07dc8	1206	4
breakout_1656253812_89b07dc8	1209	4
breakout_1656253812_89b07dc8	1211	4
breakout_1656253812_89b07dc8	1214	9
breakout_1656253812_89b07dc8	1216	4
breakout_1656253812_89b07dc8	1219	5
breakout_1656253812_89b07dc8	1221	8
breakout_1656253812_89b07dc8	1224	4
breakout_1656253812_89b07dc8	1226	10
breakout_1656253812_89b07dc8	1229	4
breakout_1656253812_89b07dc8	1231	4
breakout_1656253812_89b07dc8	1234	10
breakout_1656253812_89b07dc8	1237	4
breakout_1656253812_89b07dc8	1239	7
breakout_1656253812_89b07dc8	1242	3
breakout_1656253812_89b07dc8	1244	5
breakout_1656253812_89b07dc8	1247	11
breakout_1656253812_89b07dc8	1249	3
breakout_1656253812_89b07dc8	1252	6
breakout_1656253812_89b07dc8	1254	10
breakout_1656253812_89b07dc8	1257	6
breakout_1656253812_89b07dc8	1259	9
breakout_1656253812_89b07dc8	1262	7
breakout_1656253812_89b07dc8	1264	4
breakout_1656253812_89b07dc8	1267	7
breakout_1656253812_89b07dc8	1269	5
breakout_1656253812_89b07dc8	1272	6
breakout_1656253812_89b07dc8	1275	6
breakout_1656253812_89b07dc8	1277	8
breakout_1656253812_89b07dc8	1280	4
breakout_1656253812_89b07dc8	1282	6
breakout_1656253812_89b07dc8	1285	6
breakout_1656253812_89b07dc8	1287	3
breakout_1656253812_89b07dc8	1290	4
breakout_1656253812_89b07dc8	1292	7
breakout_1656253812_89b07dc8	1295	6
breakout_1656253812_89b07dc8	1297	7
breakout_1656253812_89b07dc8	1300	6
breakout_1656253812_89b07dc8	1302	6
breakout_1656253812_89b07dc8	1305	7
breakout_1656253812_89b07dc8	1308	4
breakout_1656253812_89b07dc8	1310	5
breakout_1656253812_89b07dc8	1313	9
breakout_1656253812_89b07dc8	1315	6
breakout_1656253812_89b07dc8	1318	8
breakout_1656253812_89b07dc8	1320	4
breakout_1656253812_89b07dc8	1323	9
breakout_1656253812_89b07dc8	1325	7
breakout_1656253812_89b07dc8	1328	9
breakout_1656253812_89b07dc8	1330	9
breakout_1656253812_89b07dc8	1333	9
breakout_1656253812_89b07dc8	1335	8
breakout_1656253812_89b07dc8	1338	9
breakout_1656253812_89b07dc8	1341	7
breakout_1656253812_89b07dc8	1343	5
breakout_1656253812_89b07dc8	1346	5
breakout_1656253812_89b07dc8	1348	7
breakout_1656253812_89b07dc8	1351	7
breakout_1656253812_89b07dc8	1353	6
breakout_1656253812_89b07dc8	1356	4
breakout_1656253812_89b07dc8	1358	6
breakout_1656253812_89b07dc8	1361	5
breakout_1656253812_89b07dc8	1363	7
breakout_1656253812_89b07dc8	1366	8
breakout_1656253812_89b07dc8	1368	6
breakout_1656253812_89b07dc8	1371	9
breakout_1656253812_89b07dc8	1374	7
breakout_1656253812_89b07dc8	1376	7
breakout_1656253812_89b07dc8	1379	5
breakout_1656253812_89b07dc8	1381	14
breakout_1656253812_89b07dc8	1384	7
breakout_1656253812_89b07dc8	1386	5
breakout_1656253812_89b07dc8	1389	7
breakout_1656253812_89b07dc8	1391	6
breakout_1656253812_89b07dc8	1394	4
breakout_1656253812_89b07dc8	1396	10
breakout_1656253812_89b07dc8	1399	7
breakout_1656253812_89b07dc8	1401	8
breakout_1656253812_89b07dc8	1404	7
breakout_1656253812_89b07dc8	1407	5
breakout_1656253812_89b07dc8	1409	5
breakout_1656253812_89b07dc8	1412	8
breakout_1656253812_89b07dc8	1414	3
breakout_1656253812_89b07dc8	1417	7
breakout_1656253812_89b07dc8	1419	6
breakout_1656253812_89b07dc8	1422	4
breakout_1656253812_89b07dc8	1424	5
breakout_1656253812_89b07dc8	1427	9
breakout_1656253812_89b07dc8	1429	5
breakout_1656253812_89b07dc8	1432	7
breakout_1656253812_89b07dc8	1434	9
breakout_1656253812_89b07dc8	1437	6
breakout_1656253812_89b07dc8	1440	9
breakout_1656253812_89b07dc8	1442	6
breakout_1656253812_89b07dc8	1445	12
breakout_1656253812_89b07dc8	1447	8
breakout_1656253812_89b07dc8	1450	8
breakout_1656253812_89b07dc8	1452	15
breakout_1656253812_89b07dc8	1455	18
breakout_1656253812_89b07dc8	1457	7
breakout_1656253812_89b07dc8	1460	7
breakout_1656253812_89b07dc8	1462	8
breakout_1656253812_89b07dc8	1465	7
breakout_1656253812_89b07dc8	1467	4
breakout_1656253812_89b07dc8	1470	6
breakout_1656253812_89b07dc8	1473	4
breakout_1656253812_89b07dc8	1475	17
breakout_1656253812_89b07dc8	1478	9
breakout_1656253812_89b07dc8	1480	10
breakout_1656253812_89b07dc8	1483	9
breakout_1656253812_89b07dc8	1485	5
breakout_1656253812_89b07dc8	1488	5
breakout_1656253812_89b07dc8	1490	5
breakout_1656253812_89b07dc8	1493	5
breakout_1656253812_89b07dc8	1495	10
breakout_1656253812_89b07dc8	1498	3
breakout_1656253812_89b07dc8	1500	3
breakout_1656253812_89b07dc8	1503	5
breakout_1656253812_89b07dc8	1506	5
breakout_1656253812_89b07dc8	1508	8
breakout_1656253812_89b07dc8	1511	5
breakout_1656253812_89b07dc8	1513	9
breakout_1656253812_89b07dc8	1516	8
breakout_1656253812_89b07dc8	1518	11
breakout_1656253812_89b07dc8	1521	4
breakout_1656253812_89b07dc8	1523	4
breakout_1656253812_89b07dc8	1526	8
breakout_1656253812_89b07dc8	1528	8
breakout_1656253812_89b07dc8	1531	4
breakout_1656253812_89b07dc8	1533	5
breakout_1656253812_89b07dc8	1536	6
breakout_1656253812_89b07dc8	1539	10
breakout_1656253812_89b07dc8	1541	7
breakout_1656253812_89b07dc8	1544	6
breakout_1656253812_89b07dc8	1546	5
breakout_1656253812_89b07dc8	1549	4
breakout_1656253812_89b07dc8	1551	6
breakout_1656253812_89b07dc8	1554	6
breakout_1656253812_89b07dc8	1556	7
breakout_1656253812_89b07dc8	1559	10
breakout_1656253812_89b07dc8	1561	7
breakout_1656253812_89b07dc8	1564	2
breakout_1656253812_89b07dc8	1566	8
breakout_1656253812_89b07dc8	1569	5
breakout_1656253812_89b07dc8	1572	6
breakout_1656253812_89b07dc8	1574	5
breakout_1656253812_89b07dc8	1577	5
breakout_1656253812_89b07dc8	1579	10
breakout_1656253812_89b07dc8	1582	7
breakout_1656253812_89b07dc8	1584	12
breakout_1656253812_89b07dc8	1587	4
breakout_1656253812_89b07dc8	1589	4
breakout_1656253812_89b07dc8	1592	5
breakout_1656253812_89b07dc8	1594	5
breakout_1656253812_89b07dc8	1597	5
breakout_1656253812_89b07dc8	1599	20
breakout_1656253812_89b07dc8	1602	2
breakout_1656253812_89b07dc8	1605	11
breakout_1656253812_89b07dc8	1607	5
breakout_1656253812_89b07dc8	1610	6
breakout_1656253812_89b07dc8	1612	7
breakout_1656253812_89b07dc8	1615	8
breakout_1656253812_89b07dc8	1617	6
breakout_1656253812_89b07dc8	1620	12
breakout_1656253812_89b07dc8	1622	13
breakout_1656253812_89b07dc8	1625	5
breakout_1656253812_89b07dc8	1627	12
breakout_1656253812_89b07dc8	1630	8
breakout_1656253812_89b07dc8	1632	7
