run_id	step	reward_sma
breakout_1656253812_89b07dc8	968	4.9
breakout_1656253812_89b07dc8	971	4.89
breakout_1656253812_89b07dc8	973	4.9
breakout_1656253812_89b07dc8	976	4.86
breakout_1656253812_89b07dc8	979	4.87
breakout_1656253812_89b07dc8	981	4.98
breakout_1656253812_89b07dc8	984	5.01
breakout_1656253812_89b07dc8	987	5
breakout_1656253812_89b07dc8	989	5.06
breakout_1656253812_89b07dc8	992	5.02
breakout_1656253812_89b07dc8	995	5
breakout_1656253812_89b07dc8	997	4.99
breakout_1656253812_89b07dc8	1000	5
breakout_1656253812_89b07dc8	1003	4.98
breakout_1656253812_89b07dc8	1005	4.89
breakout_1656253812_89b07dc8	1008	4.89
breakout_1656253812_89b07dc8	1011	4.85
breakout_1656253812_89b07dc8	1013	4.85
breakout_1656253812_89b07dc8	1016	4.8
breakout_1656253812_89b07dc8	1019	4.86
breakout_1656253812_89b07dc8	1021	4.99
breakout_1656253812_89b07dc8	1024	5.03
breakout_1656253812_89b07dc8	1027	5.02
breakout_1656253812_89b07dc8	1029	5.1
breakout_1656253812_89b07dc8	1032	5.15
breakout_1656253812_89b07dc8	1035	5.21
breakout_1656253812_89b07dc8	1037	5.16
breakout_1656253812_89b07dc8	1040	5.17
breakout_1656253812_89b07dc8	1043	5.18
breakout_1656253812_89b07dc8	1045	5.26
breakout_1656253812_89b07dc8	1048	5.31
breakout_1656253812_89b07dc8	1051	5.33
breakout_1656253812_89b07dc8	1053	5.32
breakout_1656253812_89b07dc8	1056	5.33
breakout_1656253812_89b07dc8	1059	5.32
breakout_1656253812_89b07dc8	1061	5.33
breakout_1656253812_89b07dc8	1064	5.42
breakout_1656253812_89b07dc8	1066	5.5
breakout_1656253812_89b07dc8	1069	5.5
breakout_1656253812_89b07dc8	1072	5.58
breakout_1656253812_89b07dc8	1074	5.57
breakout_1656253812_89b07dc8	1077	5.57
breakout_1656253812_89b07dc8	1080	5.62
breakout_1656253812_89b07dc8	1082	5.65
breakout_1656253812_89b07dc8	1085	5.65
breakout_1656253812_89b07dc8	1088	5.65
breakout_1656253812_89b07dc8	1090	5.88
breakout_1656253812_89b07dc8	1093	5.88
breakout_1656253812_89b07dc8	1096	5.93
breakout_1656253812_89b07dc8	1098	5.96
breakout_1656253812_89b07dc8	1101	6.08
breakout_1656253812_89b07dc8	1104	6.12
breakout_1656253812_89b07dc8	1106	6.1
breakout_1656253812_89b07dc8	1109	6.04
breakout_1656253812_89b07dc8	1112	6.02
breakout_1656253812_89b07dc8	1114	6.08
breakout_1656253812_89b07dc8	1117	6.09
breakout_1656253812_89b07dc8	1120	6.04
breakout_1656253812_89b07dc8	1122	6
breakout_1656253812_89b07dc8	1125	5.97
breakout_1656253812_89b07dc8	1128	6
breakout_1656253812_89b07dc8	1130	5.99
breakout_1656253812_89b07dc8	1133	5.97
breakout_1656253812_89b07dc8	1136	6.01
breakout_1656253812_89b07dc8	1138	6.14
breakout_1656253812_89b07dc8	1141	6.1
breakout_1656253812_89b07dc8	1144	6.08
breakout_1656253812_89b07dc8	1146	6.13
breakout_1656253812_89b07dc8	1149	6.23
breakout_1656253812_89b07dc8	1152	6.2
breakout_1656253812_89b07dc8	1154	6.21
breakout_1656253812_89b07dc8	1157	6.26
breakout_1656253812_89b07dc8	1160	6.29
breakout_1656253812_89b07dc8	1162	6.26
breakout_1656253812_89b07dc8	1165	6.24
breakout_1656253812_89b07dc8	1168	6.25
breakout_1656253812_89b07dc8	1170	6.23
breakout_1656253812_89b07dc8	1173	6.28
breakout_1656253812_89b07dc8	1176	6.23
breakout_1656253812_89b07dc8	1178	6.2
breakout_1656253812_89b07dc8	1181	6.21
breakout_1656253812_89b07dc8	1184	6.26
breakout_1656253812_89b07dc8	1186	6.21
breakout_1656253812_89b07dc8	1189	6.18
breakout_1656253812_89b07dc8	1192	6.19
breakout_1656253812_89b07dc8	1194	6.19
breakout_1656253812_89b07dc8	1197	6.09
breakout_1656253812_89b07dc8	1200	6.13
breakout_1656253812_89b07dc8	1202	6.12
breakout_1656253812_89b07dc8	1205	6.07
breakout_1656253812_89b07dc8	1208	6.06
breakout_1656253812_89b07dc8	1210	6.14
breakout_1656253812_89b07dc8	1213	6.17
breakout_1656253812_89b07dc8	1216	6.21
breakout_1656253812_89b07dc8	1218	6.16
breakout_1656253812_89b07dc8	1221	6.17
breakout_1656253812_89b07dc8	1224	6.22
breakout_1656253812_89b07dc8	1226	6.18
breakout_1656253812_89b07dc8	1229	5.97
breakout_1656253812_89b07dc8	1232	6.04
breakout_1656253812_89b07dc8	1234	5.88
breakout_1656253812_89b07dc8	1237	5.89
breakout_1656253812_89b07dc8	1240	5.9
breakout_1656253812_89b07dc8	1242	5.88
breakout_1656253812_89b07dc8	1245	5.93
breakout_1656253812_89b07dc8	1248	5.93
breakout_1656253812_89b07dc8	1250	5.94
breakout_1656253812_89b07dc8	1253	6.07
breakout_1656253812_89b07dc8	1256	6.07
breakout_1656253812_89b07dc8	1258	6.13
breakout_1656253812_89b07dc8	1261	6.12
breakout_1656253812_89b07dc8	1264	6.21
breakout_1656253812_89b07dc8	1266	6.26
breakout_1656253812_89b07dc8	1269	6.34
breakout_1656253812_89b07dc8	1272	6.37
breakout_1656253812_89b07dc8	1274	6.37
breakout_1656253812_89b07dc8	1277	6.39
breakout_1656253812_89b07dc8	1280	6.36
breakout_1656253812_89b07dc8	1282	6.43
breakout_1656253812_89b07dc8	1285	6.39
breakout_1656253812_89b07dc8	1288	6.42
breakout_1656253812_89b07dc8	1290	6.38
breakout_1656253812_89b07dc8	1293	6.36
breakout_1656253812_89b07dc8	1296	6.34
breakout_1656253812_89b07dc8	1298	6.33
breakout_1656253812_89b07dc8	1301	6.42
breakout_1656253812_89b07dc8	1304	6.41
breakout_1656253812_89b07dc8	1306	6.42
breakout_1656253812_89b07dc8	1309	6.36
breakout_1656253812_89b07dc8	1312	6.34
breakout_1656253812_89b07dc8	1314	6.35
breakout_1656253812_89b07dc8	1317	6.39
breakout_1656253812_89b07dc8	1320	6.36
breakout_1656253812_89b07dc8	1322	6.39
breakout_1656253812_89b07dc8	1325	6.47
breakout_1656253812_89b07dc8	1328	6.5
breakout_1656253812_89b07dc8	1330	6.49
breakout_1656253812_89b07dc8	1333	6.51
breakout_1656253812_89b07dc8	1336	6.56
breakout_1656253812_89b07dc8	1338	6.53
breakout_1656253812_89b07dc8	1341	6.54
breakout_1656253812_89b07dc8	1344	6.4
breakout_1656253812_89b07dc8	1346	6.35
breakout_1656253812_89b07dc8	1349	6.36
breakout_1656253812_89b07dc8	1352	6.25
breakout_1656253812_89b07dc8	1354	6.3
breakout_1656253812_89b07dc8	1357	6.43
breakout_1656253812_89b07dc8	1360	6.52
breakout_1656253812_89b07dc8	1362	6.56
breakout_1656253812_89b07dc8	1365	6.7
breakout_1656253812_89b07dc8	1368	6.72
breakout_1656253812_89b07dc8	1370	6.73
breakout_1656253812_89b07dc8	1373	6.72
breakout_1656253812_89b07dc8	1376	6.78
breakout_1656253812_89b07dc8	1378	6.74
breakout_1656253812_89b07dc8	1381	6.71
breakout_1656253812_89b07dc8	1384	6.8
breakout_1656253812_89b07dc8	1386	6.76
breakout_1656253812_89b07dc8	1389	6.79
breakout_1656253812_89b07dc8	1392	6.82
breakout_1656253812_89b07dc8	1394	6.85
breakout_1656253812_89b07dc8	1397	6.86
breakout_1656253812_89b07dc8	1400	6.88
breakout_1656253812_89b07dc8	1402	6.92
breakout_1656253812_89b07dc8	1405	7.03
breakout_1656253812_89b07dc8	1408	7.04
breakout_1656253812_89b07dc8	1410	7.03
breakout_1656253812_89b07dc8	1413	6.99
breakout_1656253812_89b07dc8	1416	7.08
breakout_1656253812_89b07dc8	1418	7.08
breakout_1656253812_89b07dc8	1421	7.07
breakout_1656253812_89b07dc8	1424	7.14
breakout_1656253812_89b07dc8	1426	7.12
breakout_1656253812_89b07dc8	1429	7.1
breakout_1656253812_89b07dc8	1432	7.11
breakout_1656253812_89b07dc8	1434	7.09
breakout_1656253812_89b07dc8	1437	7.24
breakout_1656253812_89b07dc8	1440	7.3
breakout_1656253812_89b07dc8	1442	7.32
breakout_1656253812_89b07dc8	1445	7.37
breakout_1656253812_89b07dc8	1448	7.44
